CB Status,R,V,I,P,Q,VPU,IPU,PPU,QPU,Voltage PU,Current PU,Power PU,Reactive PU
TIE 10 TIE 21,1,14794.60854,24.48211663,1091370.615,-364754.0369,1.479460854,1.224105832,10.91370615,-3.647540369,10000,20,100000,100000
TIE 10 TIE 21,1,14754.99153,24.46932966,1100129.61,-332760.0432,1.475499153,1.223466483,11.0012961,-3.327600432,10000,20,100000,100000
TIE 10 TIE 21,1,14816.36788,24.1938412,1076526.229,-374509.0517,1.481636788,1.20969206,10.76526229,-3.745090517,10000,20,100000,100000
TIE 10 TIE 21,1,14709.5847,24.83453066,1126521.954,-312868.3296,1.47095847,1.241726533,11.26521954,-3.128683296,10000,20,100000,100000
TIE 10 TIE 21,1,14676.43194,25.00111791,1137803.321,-300161.6519,1.467643194,1.250055895,11.37803321,-3.001616519,10000,20,100000,100000
TIE 10 TIE 21,1,14749.41643,24.88137239,1116573.429,-349226.7024,1.474941643,1.24406862,11.16573429,-3.492267024,10000,20,100000,100000
TIE 10 TIE 21,1,14736.02382,24.36824921,1098490.996,-326042.904,1.473602382,1.218412461,10.98490996,-3.26042904,10000,20,100000,100000
TIE 10 TIE 21,1,14898.29313,23.4624564,1028308.85,-422396.727,1.489829313,1.17312282,10.2830885,-4.22396727,10000,20,100000,100000
TIE 10 TIE 21,1,14876.19376,23.53112149,1039346.859,-420610.4904,1.487619376,1.176556075,10.39346859,-4.206104904,10000,20,100000,100000
TIE 10 TIE 21,1,14935.54154,23.61440437,1038224.244,-425487.2225,1.493554154,1.180720218,10.38224244,-4.254872225,10000,20,100000,100000
TIE 10 TIE 21,1,14976.46145,23.94462274,1049195.579,-425534.7729,1.497646145,1.197231137,10.49195579,-4.255347729,10000,20,100000,100000
TIE 10 TIE 21,1,15031.72777,23.79969095,1027734.744,-463296.191,1.503172777,1.189984547,10.27734744,-4.63296191,10000,20,100000,100000
TIE 10 TIE 21,1,15055.55631,23.48288646,1009390.138,-470975.4729,1.505555631,1.174144323,10.09390138,-4.709754729,10000,20,100000,100000
TIE 10 TIE 21,1,15084.38547,23.92260455,1027939.071,-489413.8073,1.508438547,1.196130227,10.27939071,-4.894138073,10000,20,100000,100000
TIE 10 TIE 21,1,14991.96556,23.90506283,1059513.916,-422663.197,1.499196556,1.195253142,10.59513916,-4.22663197,10000,20,100000,100000
TIE 10 TIE 21,1,14960.76011,24.34803424,1081299.297,-411095.6723,1.496076011,1.217401712,10.81299297,-4.110956723,10000,20,100000,100000
TIE 10 TIE 21,1,14972.87331,23.67072851,1057015.528,-402409.471,1.497287331,1.183536426,10.57015528,-4.02409471,10000,20,100000,100000
TIE 10 TIE 21,1,14989.08964,23.90929892,1059588.399,-430324.4167,1.498908964,1.195464946,10.59588399,-4.303244167,10000,20,100000,100000
TIE 10 TIE 21,1,14948.17171,24.24245056,1081733.509,-401871.7276,1.494817171,1.212122528,10.81733509,-4.018717276,10000,20,100000,100000
TIE 10 TIE 21,1,14864.7965,24.0957495,1095048.013,-354174.5373,1.48647965,1.204787475,10.95048013,-3.541745373,10000,20,100000,100000
TIE 10 TIE 21,1,14927.66104,24.16855239,1077113.072,-406800.6569,1.492766104,1.20842762,10.77113072,-4.068006569,10000,20,100000,100000
TIE 10 TIE 21,1,15062.63042,23.30742858,1010966.489,-459632.8084,1.506263042,1.165371429,10.10966489,-4.596328084,10000,20,100000,100000
TIE 10 TIE 21,1,15037.34671,23.46628177,1024178.14,-448074.6018,1.503734671,1.173314088,10.2417814,-4.480746018,10000,20,100000,100000
TIE 10 TIE 21,1,14956.54624,23.94380797,1077567.341,-401628.5556,1.495654624,1.197190398,10.77567341,-4.016285556,10000,20,100000,100000
TIE 10 TIE 21,1,14941.97364,23.58209274,1066294.152,-371848.2299,1.494197364,1.179104637,10.66294152,-3.718482299,10000,20,100000,100000
TIE 10 TIE 21,1,14824.74386,23.95648387,1084631.525,-379991.6389,1.482474386,1.197824194,10.84631525,-3.799916389,10000,20,100000,100000
TIE 10 TIE 21,1,15004.531,23.34529423,1022096.714,-441270.8109,1.5004531,1.167264711,10.22096714,-4.412708109,10000,20,100000,100000
TIE 10 TIE 21,1,14975.92953,23.43464349,1022602.466,-459684.6793,1.497592953,1.171732174,10.22602466,-4.596846793,10000,20,100000,100000
TIE 10 TIE 21,1,14995.26456,23.59988373,1037101.635,-435923.3529,1.499526456,1.179994186,10.37101635,-4.359233529,10000,20,100000,100000
TIE 10 TIE 21,1,14876.42053,24.03456237,1085043.742,-390048.8848,1.487642053,1.201728119,10.85043742,-3.900488848,10000,20,100000,100000
TIE 10 TIE 21,1,14788.51291,24.00636126,1096006.798,-376586.8649,1.478851291,1.200318063,10.96006798,-3.765868649,10000,20,100000,100000
TIE 10 TIE 21,1,14950.68194,23.71091162,1043893.299,-443555.5185,1.495068194,1.185545581,10.43893299,-4.435555185,10000,20,100000,100000
TIE 10 TIE 21,1,14931.59665,23.86047171,1054095.67,-437651.1194,1.493159665,1.193023586,10.5409567,-4.376511194,10000,20,100000,100000
TIE 10 TIE 21,1,14905.50167,24.27366437,1097083.144,-373728.8892,1.490550167,1.213683219,10.97083144,-3.737288892,10000,20,100000,100000
TIE 10 TIE 21,1,14813.38428,24.55020195,1123380.36,-337720.5581,1.481338428,1.227510098,11.2338036,-3.377205581,10000,20,100000,100000
TIE 10 TIE 21,1,14782.62264,24.36829688,1116423.55,-354558.4723,1.478262264,1.218414844,11.1642355,-3.545584723,10000,20,100000,100000
TIE 10 TIE 21,1,14883.15153,24.07180784,1074465.093,-430128.6109,1.488315153,1.203590392,10.74465093,-4.301286109,10000,20,100000,100000
TIE 10 TIE 21,1,14865.26731,23.85508553,1071558.652,-405496.8957,1.486526731,1.192754276,10.71558652,-4.054968957,10000,20,100000,100000
TIE 10 TIE 21,1,14784.95019,25.80965245,1166917.373,-389443.386,1.478495019,1.290482622,11.66917373,-3.89443386,10000,20,100000,100000
TIE 10 TIE 21,1,14784.0997,25.02393745,1156951.053,-318726.4165,1.47840997,1.251196873,11.56951053,-3.187264165,10000,20,100000,100000
TIE 10 TIE 21,1,14991.0257,23.98372484,1068308.117,-424018.2965,1.49910257,1.199186242,10.68308117,-4.240182965,10000,20,100000,100000
TIE 10 TIE 21,1,14829.84881,24.64423805,1111231.911,-388408.8511,1.482984881,1.232211902,11.11231911,-3.884088511,10000,20,100000,100000
TIE 10 TIE 21,1,14848.47866,24.32587258,1087985.093,-426882.1549,1.484847866,1.216293629,10.87985093,-4.268821549,10000,20,100000,100000
