Type,Voltage Self Open,Voltage Neigh Open,Current Self Open,Current Neigh Open,Power Self Open,Power Neigh Open,Reactive Power Self Open,Reactive Power Neigh Open,Sample
Open,2234.491716,1936.978577,0.002233372,144.6090175,0.358284702,1208.803088,-3.23E-04,-2.40E-09,91
Open,2236.593136,1939.037942,0.002235494,144.6320249,0.358382592,1209.116478,-3.23E-04,2.21E-09,92
Open,2238.732319,1941.129006,0.002237654,144.6559307,0.358480698,1209.404884,-3.23E-04,1.08E-08,93
Open,2240.857222,1943.208455,0.0022398,144.6795195,0.358578345,1209.700588,-3.23E-04,1.33E-08,94
Open,2242.97073,1945.278868,0.002241935,144.7047923,0.358676106,1209.995957,-3.23E-04,1.00E-08,95
Open,2245.098146,1947.362898,0.002244084,144.7282341,0.358774171,1210.304066,-3.23E-04,1.36E-08,96
Open,2247.266622,1949.481908,0.002246274,144.7512409,0.358872674,1210.598746,-3.23E-04,-6.07E-09,97
Open,2249.391336,1951.563951,0.00224842,144.7760548,0.358970174,1210.893488,-3.23E-04,-1.47E-09,98
Open,2251.543466,1953.672267,0.002250594,144.7983561,0.359068669,1211.211284,-3.23E-04,-4.56E-09,99
Open,2253.6897,1955.77364,0.002252762,144.8235123,0.359166599,1211.497226,-3.22E-04,1.17E-09,100
